cloud_service_id,processor_manufacturer,vcpu_memgb_ratio,gCO2eq24hs,cloud_provider_id,category,vcpu,architecture,daily_price,memory_gb,network,clock_speed_ghz,graviton_suggestion,instance_id,memgb_vcpu_ratio,gpu
aws-ec2,intel,0.26666666666666666,1049.5,aws,compute,8,x86_64,12.77,30,High,2.5,no_equivalent,m3.2xlarge,3.75,0
aws-ec2,intel,0.26666666666666666,262.4,aws,compute,2,x86_64,3.19,7.5,Moderate,2.5,no_equivalent,m3.large,3.75,0
aws-ec2,intel,0.26666666666666666,131.8,aws,compute,1,x86_64,1.61,3.75,Moderate,2.5,no_equivalent,m3.medium,3.75,0
aws-ec2,intel,0.26666666666666666,523.6,aws,compute,4,x86_64,6.38,15,High,2.5,no_equivalent,m3.xlarge,3.75,0
aws-ec2,intel,0.25,3768.8,aws,compute,40,x86_64,48,160,10 Gigabit,2.4,m6g.10xlarge,m4.10xlarge,4,0
aws-ec2,intel,0.25,4914.8,aws,compute,64,x86_64,76.8,256,25 Gigabit,2.4,m6g.16xlarge,m4.16xlarge,4,0
aws-ec2,intel,0.25,614.5,aws,compute,8,x86_64,9.6,32,High,2.4,m6g.2xlarge,m4.2xlarge,4,0
aws-ec2,intel,0.25,1227.8,aws,compute,16,x86_64,19.2,64,High,2.4,m6g.4xlarge,m4.4xlarge,4,0
aws-ec2,intel,0.25,154.5,aws,compute,2,x86_64,2.4,8,Moderate,2.4,m6g.large,m4.large,4,0
aws-ec2,intel,0.25,306.6,aws,compute,4,x86_64,4.8,16,High,2.4,m6g.xlarge,m4.xlarge,4,0
aws-ec2,intel,0.25,4617.1,aws,compute,48,x86_64,55.3,192,10 Gigabit,3.1,m6g.12xlarge,m5.12xlarge,4,0
aws-ec2,intel,0.25,6157.3,aws,compute,64,x86_64,73.73,256,20 Gigabit,3.1,m6g.16xlarge,m5.16xlarge,4,0
aws-ec2,intel,0.25,9234.2,aws,compute,96,x86_64,110.59,384,25 Gigabit,3.1,m6g.24xlarge,m5.24xlarge,4,0
aws-ec2,intel,0.25,770.1,aws,compute,8,x86_64,9.22,32,Up to 10 Gigabit,3.1,m6g.2xlarge,m5.2xlarge,4,0
aws-ec2,intel,0.25,1540.2,aws,compute,16,x86_64,18.43,64,Up to 10 Gigabit,3.1,m6g.4xlarge,m5.4xlarge,4,0
aws-ec2,intel,0.25,3076.9,aws,compute,32,x86_64,36.86,128,10 Gigabit,3.1,m6g.8xlarge,m5.8xlarge,4,0
aws-ec2,intel,0.25,192.8,aws,compute,2,x86_64,2.3,8,Up to 10 Gigabit,3.1,m6g.large,m5.large,4,0
aws-ec2,intel,0.25,,aws,compute,96,x86_64,110.59,384,25 Gigabit,3.1,no_equivalent,m5.metal,4,0
aws-ec2,intel,0.25,383.3,aws,compute,4,x86_64,4.61,16,Up to 10 Gigabit,3.1,m6g.xlarge,m5.xlarge,4,0
aws-ec2,amd,0.25,3759.8,aws,compute,48,x86_64,49.54,192,10 Gigabit,2.5,m6g.12xlarge,m5a.12xlarge,4,0
aws-ec2,amd,0.25,5012.6,aws,compute,64,x86_64,66.05,256,12 Gigabit,2.5,m6g.16xlarge,m5a.16xlarge,4,0
aws-ec2,amd,0.25,7518.4,aws,compute,96,x86_64,99.07,384,20 Gigabit,2.5,m6g.24xlarge,m5a.24xlarge,4,0
aws-ec2,amd,0.25,626.4,aws,compute,8,x86_64,8.26,32,Up to 10 Gigabit,2.5,m6g.2xlarge,m5a.2xlarge,4,0
aws-ec2,amd,0.25,1254.1,aws,compute,16,x86_64,16.51,64,Up to 10 Gigabit,2.5,m6g.4xlarge,m5a.4xlarge,4,0
aws-ec2,amd,0.25,2505.7,aws,compute,32,x86_64,33.02,128,Up to 10 Gigabit,2.5,m6g.8xlarge,m5a.8xlarge,4,0
aws-ec2,amd,0.25,156.9,aws,compute,2,x86_64,2.06,8,Up to 10 Gigabit,2.5,m6g.large,m5a.large,4,0
aws-ec2,amd,0.25,312.6,aws,compute,4,x86_64,4.13,16,Up to 10 Gigabit,2.5,m6g.xlarge,m5a.xlarge,4,0
aws-ec2,amd,0.25,3899,aws,compute,48,x86_64,59.33,192,10 Gigabit,2.5,m6gd.12xlarge,m5ad.12xlarge,4,0
aws-ec2,amd,0.25,5197.4,aws,compute,64,x86_64,79.1,256,12 Gigabit,2.5,m6gd.16xlarge,m5ad.16xlarge,4,0
aws-ec2,amd,0.25,7796.8,aws,compute,96,x86_64,118.66,384,20 Gigabit,2.5,m6gd.24xlarge,m5ad.24xlarge,4,0
aws-ec2,amd,0.25,648,aws,compute,8,x86_64,9.89,32,Up to 10 Gigabit,2.5,m6gd.2xlarge,m5ad.2xlarge,4,0
aws-ec2,amd,0.25,1299.7,aws,compute,16,x86_64,19.78,64,Up to 10 Gigabit,2.5,m6gd.4xlarge,m5ad.4xlarge,4,0
aws-ec2,amd,0.25,2599.3,aws,compute,32,x86_64,39.55,128,Up to 10 Gigabit,2.5,m6gd.8xlarge,m5ad.8xlarge,4,0
