gpu,vcpu_memgb_ratio,clock_speed_ghz,daily_price,cloud_service_id,memory_gb,memgb_vcpu_ratio,vcpu,processor_manufacturer,instance_id,architecture,cloud_provider_id,gCO2eq24hs,network,category
0,0.5,2.5,1.63,aws-ec2,4,2,2,graviton,c6g.large,arm64,aws,97,Up to 10 Gigabit,compute
0,0.5,2.5,0.82,aws-ec2,2,2,1,graviton,c6g.medium,arm64,aws,47.9,Up to 10 Gigabit,compute
0,0.5,2.5,52.22,aws-ec2,128,2,64,graviton,c6g.metal,arm64,aws,,25 Gigabit,compute
0,0.5,2.5,3.26,aws-ec2,8,2,4,graviton,c6g.xlarge,arm64,aws,195.3,Up to 10 Gigabit,compute
0,0.5,2.5,44.24,aws-ec2,96,2,48,graviton,c6gd.12xlarge,arm64,aws,2447.8,20 Gigabit,compute
0,0.5,2.5,58.98,aws-ec2,128,2,64,graviton,c6gd.16xlarge,arm64,aws,3263.7,25 Gigabit,compute
0,0.5,2.5,7.37,aws-ec2,16,2,8,graviton,c6gd.2xlarge,arm64,aws,408.6,Up to 10 Gigabit,compute
0,0.5,2.5,14.75,aws-ec2,32,2,16,graviton,c6gd.4xlarge,arm64,aws,815.9,Up to 10 Gigabit,compute
0,0.5,2.5,29.49,aws-ec2,64,2,32,graviton,c6gd.8xlarge,arm64,aws,1631.9,12 Gigabit,compute
0,0.5,2.5,1.84,aws-ec2,4,2,2,graviton,c6gd.large,arm64,aws,101.8,Up to 10 Gigabit,compute
0,0.5,2.5,0.92,aws-ec2,2,2,1,graviton,c6gd.medium,arm64,aws,50.3,Up to 10 Gigabit,compute
0,0.5,2.5,58.98,aws-ec2,128,2,64,graviton,c6gd.metal,arm64,aws,,25 Gigabit,compute
0,0.5,2.5,3.69,aws-ec2,8,2,4,graviton,c6gd.xlarge,arm64,aws,204.9,Up to 10 Gigabit,compute
0,0.5,2.5,49.77,aws-ec2,96,2,48,graviton,c6gn.12xlarge,arm64,aws,2344.6,75 Gigabit,compute
0,0.5,2.5,66.36,aws-ec2,128,2,64,graviton,c6gn.16xlarge,arm64,aws,3124.5,100 Gigabit,compute
0,0.5,2.5,8.29,aws-ec2,16,2,8,graviton,c6gn.2xlarge,arm64,aws,391.8,Up to 25 Gigabit,compute
0,0.5,2.5,16.59,aws-ec2,32,2,16,graviton,c6gn.4xlarge,arm64,aws,782.3,Up to 25 Gigabit,compute
0,0.5,2.5,33.18,aws-ec2,64,2,32,graviton,c6gn.8xlarge,arm64,aws,1562.3,50 Gigabit,compute
0,0.5,2.5,2.07,aws-ec2,4,2,2,graviton,c6gn.large,arm64,aws,97,Up to 25 Gigabit,compute
0,0.5,2.5,1.04,aws-ec2,2,2,1,graviton,c6gn.medium,arm64,aws,47.9,Up to 25 Gigabit,compute
0,0.5,2.5,4.15,aws-ec2,8,2,4,graviton,c6gn.xlarge,arm64,aws,195.3,Up to 25 Gigabit,compute
0,0.5289256198347108,2.6,48,aws-ec2,60.5,1.890625,32,intel,cc2.8xlarge,x86_64,aws,3875.9,10 Gigabit,compute
0,0.13114754098360656,,84,aws-ec2,244,7.625,32,intel,cr1.8xlarge,x86_64,aws,4793.2,10 Gigabit,compute
0,0.13114754098360656,2.4,33.12,aws-ec2,61,7.625,8,intel,d2.2xlarge,x86_64,aws,1029.2,High,compute
